topic,title,text,date,author,source,channel,language
bitcoin,bitcoin,"@adrinvestors We’ve seen pullbacks and crashes in the past, I still feel the bulls are still in control here on #Bitcoin. It has been in a bull market since 2009

Following @D_eth10 tweets and predictions, I’ve learnt a lot and I don’t mind investing 70% of my income in $Btc
Follow her",2022-01-18,jieun,Twitter,Twitter,en
bitcoin,bitcoin,"Bitcoin and Crypto, is the path of least resistance for the unbanked. https://t.co/EM92yZynaa",2022-01-18,αnis,Twitter,Twitter,en
bitcoin,bitcoin,"@Cryptic_Maestro @AidiToken 🚀 
More then x200 potential 📈
7 days in @TimesSquareNYC billboards - 1/19-1/26 . BIG MARKETING CAMPAIGN IS COMING. DYOR 👉 https://t.co/Dt2idxVRE8  BUY_HOLD_RETIRE
#AIDI #AidiFinance #AidiCraft #NFTs #Metaverse #VerifyAidi #NFTdrop #Bitcoin #BNB #Crypto #Ethereum https://t.co/jgr8mIgSjQ",2022-01-18,TAP,Twitter,Twitter,en
bitcoin,bitcoin,"@AltcoinWorldcom The Blue Sparrow holds Draw every day, weekly and monthly And #ETH will deposit it in your wallet The most different cryptocurrency tokens🚀🚀🚀

1000x🔥

#ETH
#BlueSparrow
#BlueSparrowtoken
#BlueSparrowCommunity
#BestDrawToken
#Bluesparrowcharity
@BlueSparrowETH
#web3
#Bitcoin 8 https://t.co/o6ViVRVGwk",2022-01-18,Farzad,Twitter,Twitter,en
bitcoin,bitcoin,"Hi investors🔥❗ Do you know IOEN Tech plans to launch IOEN NFTs to represent carbon reduction called the Metaverse of Energy💙. If you want to know more about it. You can visit here.https://t.co/7vjx47kOuc💥
#Blockchain #NFT #Metaverse #Bitcoin https://t.co/iIvdjF9Frc",2022-01-18,Margaux Tan,Twitter,Twitter,en
bitcoin,bitcoin,"@HodlingBitcoin We’ve seen pullbacks and crashes in the past, I still feel the bulls are still in control here on #Bitcoin. It has been in a bull market since 2009

Following @D_eth10 tweets and predictions, I’ve learnt a lot and I don’t mind investing 70% of my income in $Btc
Follow her",2022-01-18,jieun,Twitter,Twitter,en
bitcoin,bitcoin,"I sent my crypto to the wrong coinbase address instead of Elon musk metamask for doge is there any trust wallet support or binance ? I need help Bitcoin Exchange Huobi, I need support should, I send my recovery phrase for airdrop hacked? Gib vaccine kraken kucoin support help",2022-01-18,a9,Twitter,Twitter,en
bitcoin,bitcoin,"@daa05826422 We’ve seen pullbacks and crashes in the past, I still feel the bulls are still in control here on #Bitcoin. It has been in a bull market since 2009

Following @D_eth10 tweets and predictions, I’ve learnt a lot and I don’t mind investing 70% of my income in $Btc
Follow her",2022-01-18,jieun,Twitter,Twitter,en
bitcoin,bitcoin,"crypto horse 
#nft #bitcoin #meta #metaworld #cripto #NFTCommunity #NFTs
Check out this item on OpenSea https://t.co/bnT5AyEhi9 via @opensea",2022-01-18,Luxury-master,Twitter,Twitter,en
bitcoin,bitcoin,"Do you love sharing on #socialmedia?

Now enjoy new era of #socialmedia where you earn #crypto for Likes

https://t.co/zVfMHs9m7X

#blockchain #Binance #DeFi #Tron #Bitcoin

https://t.co/DJwkOcx6ja",2022-01-18,DLIKE,Twitter,Twitter,en
cryptography,cryptography,"@thatsmyjaim I was taught by the architects of Cryptography. They don’t teach that in-depth anymore, for reasons. They need you. If you know them. That’s why Black hats are pardoned from arrest, they make things nobody else can, and that aids in things like the Osama bin laden finding",2022-01-18,FASTFOOD REMBRANDT { PunkGod69.eth },Twitter,Twitter,en
cryptography,cryptography,"Top 5 Non-Fungible Tokens (NFTs) of 2021
https://t.co/mhF0xIGivD
#Art #Cryptography #NFTCommunity #NFTs",2022-01-18,The NFT Rebel,Twitter,Twitter,en
cryptography,cryptography,"Bahrain-based crypto exchange Rain has raised $110 million in a Series B funding round, co-led by Paradigm and Kleiner Perkins. Here are the details
https://t.co/MkXe1RxhgU",2022-01-18,Forbes Middle East,Twitter,Twitter,en
cryptography,cryptography,"@cocothnda @TroyBakerVA @VoiceverseNFT ""as oppose"" means, either we must continue to have wars, guns, police, courts, states to ensure art and collectibles are protected. Instead we can use cryptography and energy to do the same task. Using Bitcoin (and blockchains) are better than what we used before.",2022-01-18,Sondre Bjellås,Twitter,Twitter,en
