topic,title,text,date,author,source,channel,language
russiaukraine,russiaukraine,"Ukraine FM Dmytro Kuleba asks China to provide security guarantees against RussiaUkraine’s Foreign Minister, Dmytro Kuleba, asked China to provide security guarantees to his count... Trending: #90DayFiance #RHOA   https://t.co/QMcvkq4aPb",2022-05-02,sawanswers,Twitter,Twitter,en
russiaukraine,russiaukraine,"Listen to ""China/Taiwan the New Russia/Ukraine? Anti Woke Podcast"". ⚓ https://t.co/Cq729a6yLj #antiwoke",2022-05-02,Anti Woke Podcat,Twitter,Twitter,en
russiaukraine,russiaukraine,"@NickKristof @60Minutes Wrong. #WokeVirus
US and NATO initiated and fueled the #RussiaUkraine war.",2022-05-02,Lacey Lance 2.0,Twitter,Twitter,en
russiaukraine,russiaukraine,"Part of Pat’s latest update from Ukraine. Part 1

#Ukriane #Russia #RussiaUkraine #truth #facts #youwontseethisinwesternmedia #wakeup https://t.co/KTrXpFXhZL",2022-05-02,Truth-Seeker,Twitter,Twitter,en
russiaukraine,russiaukraine,Ukraine War LIVE: EU energy ministers hold crisis talks after Russian gas cuts  https://t.co/sr5rLiHlmH,2022-05-02,Hindustan Times,Twitter,Twitter,en
russiaukraine,russiaukraine,Russia-Ukraine War LIVE Updates: Monday May 2 latest war news  https://t.co/sr5rLiHlmH,2022-05-02,Hindustan Times,Twitter,Twitter,en
russiaukraine,russiaukraine,"She's exposing the TRUTH in Ukraine and they don't like it | Redacted Co... https://t.co/rlN5MLoRFq 
#UkraineWar #RussiaUkraine #RussianWar",2022-05-02,Nayoun,Twitter,Twitter,en
russiaukraine,russiaukraine,"Hindustan Times: Ukraine War Highlights: 'Putin could make the choice to end it,' Biden tweets.&gt;&gt; No 1 Gadheda 🐎 in the world
https://t.co/2NMuqSV6BN

via @GoogleNews",2022-05-02,Kanad Bandyopadhyay,Twitter,Twitter,en
russiaukraine,russiaukraine,"The #USA by interfering in #Ukraine since 2009,by organizing #Maidan and by arming and training the #Azov militias since 2014,are responsible for the current disaster.
#Biden #BidensWar #Russia #UkraineWar #Russian #UkraineRussia #UkraineRussiaWar #RussiaUkraine #RussiaUkraineWar https://t.co/jjEaZKCwBG",2022-05-01,Aidane,Twitter,Twitter,en
russiaukraine,russiaukraine,"Petrovsky district of Donetsk, now.

#UkraineWar #UkraineRussianWar #UkraineRussia #Ukriane #Russia #RussiaUkraineWar #Russians #RussiaUkraine https://t.co/dwpZKCG481",2022-05-01,Siraj Noorani,Twitter,Twitter,en
willsmith,willsmith,"I usually don’t like memoirs but thanks to Mariah Carey I fell in love with black memoirs. I am learning a lot about the ent business, black childhoods &amp;nuggets of politics like Tipper Gore’s gripe against black artists or how Alicia Keys fought for financial freedom #WillSmith https://t.co/hulcmJoECM",2022-05-02,Chipo Dendere,Twitter,Twitter,en
willsmith,willsmith,https://t.co/PHDuveGdVO #Criticschoiceawards  #willsmith #jadapinkettsmith award champion 🥇🥇🥇🥇🥇🪙🪙🪙🪙💘💘💘💘💘🌺🌺🌺🌺🌺 for love for them for award win,2022-05-02,Demetre Hunter mega Hanna barbera velicity von,Twitter,Twitter,en
willsmith,willsmith,https://t.co/69duGIyJz1 #willsmith #jadapinkettsmith award of champion 🎥🎥🎥🎥🎥🎥🎥🎥,2022-05-02,Demetre Hunter mega Hanna barbera velicity von,Twitter,Twitter,en
willsmith,willsmith,finally got #WillSmith s’ book &amp; can’t wait to start listening to him read it to me 🤤🥰,2022-05-02,ThickySmallz,Twitter,Twitter,en
willsmith,willsmith,#willsmith #jadapinketsmith for join #kurtrussell #joebiden award for #teacheroftheyear #jillbiden for ultra of them champion  award of president ultra 🏅🏅🏅🏅🏅🏅🌻🌻🌻🌻🌻🌻🇺🇸🇺🇸🇺🇸🇺🇸🌺🌺🌺🌺🌹🌹🌹🌹 https://t.co/81YKYxq9vE,2022-05-02,Demetre Hunter mega Hanna barbera velicity von,Twitter,Twitter,en
willsmith,willsmith,"big fuckin ego, but a nice fuckin actor #willsmith @crisrock @TeamWillDaily #latinoamerica #usa

#cali #calico cali",2022-05-02,Paolo,Twitter,Twitter,en
willsmith,willsmith,"@ahmedhassaan94 @cz_binance @willsmith 🔥🔥 @StepInu_Network- Next #STEPN - Next 100x Project 
👉🏽 Join Step Inu Whitelist contest now: 
https://t.co/sWcsXjanK1
🎁 Total Rewards 570 BUSD for Top 10
StepInu is the first GameFi on the market that combines Move-to-Earn and Play-to-Earn!
#StepInu #M2E #SIN #Whitelist",2022-05-02,D kovchen,Twitter,Twitter,en
willsmith,willsmith,Hope #willsmith is ok https://t.co/j50an9Ygxg,2022-05-02,DrOkpala,Twitter,Twitter,en
willsmith,willsmith,@willsmith Oh. Also. Did you do BTRFS or EX4? The snapshot stuff with BTRFS might be better than any downside I’ve encountered so far.,2022-05-02,Randal “The Essential”,Twitter,Twitter,en
